min_rpm,max_rpm,rpe,minutes,seconds
80,100,3,10,0
105,120,4,0,30
70,80,3,0,30
105,120,5,0,30
70,80,3,0,30
105,120,6,0,30
70,80,3,0,30
105,120,7,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,8,0,30
70,80,3,0,30
90,100,9,0,30
70,80,3,0,30
90,100,9,0,30
70,80,3,0,30
90,100,9,0,30
70,80,3,0,30
90,100,9,0,30
70,80,3,0,30
90,100,9,0,30
70,80,3,0,30
90,100,10,0,30
70,80,3,0,30
90,100,10,0,30
70,80,3,0,30
90,100,10,0,30
70,80,3,0,30
90,100,10,0,30
70,80,3,0,30
90,100,10,0,30
70,80,3,0,30
80,100,3,10,0
